source,target,rel
2,1,Pediría consejo a
2,2,Pediría consejo a
2,8,Pediría consejo a
2,11,Pediría consejo a
12,3,Pediría consejo a
12,8,Pediría consejo a
12,10,Pediría consejo a
15,1,Pediría consejo a
15,2,Pediría consejo a
15,10,Pediría consejo a
15,14,Pediría consejo a
6,8,Pediría consejo a
6,15,Pediría consejo a
10,2,Pediría consejo a
10,8,Pediría consejo a
10,9,Pediría consejo a
10,12,Pediría consejo a
9,8,Pediría consejo a
9,10,Pediría consejo a
13,7,Pediría consejo a
13,11,Pediría consejo a
16,1,Pediría consejo a
8,10,Pediría consejo a
4,14,Pediría consejo a
14,3,Pediría consejo a
14,4,Pediría consejo a
14,8,Pediría consejo a
14,15,Pediría consejo a
3,12,Pediría consejo a
3,15,Pediría consejo a
11,13,Pediría consejo a
7,4,Pediría consejo a
7,6,Pediría consejo a
7,11,Pediría consejo a
7,13,Pediría consejo a
7,14,Pediría consejo a
5,6,Pediría consejo a
5,7,Pediría consejo a
1,2,Pediría consejo a
1,6,Pediría consejo a
1,8,Pediría consejo a
1,14,Pediría consejo a
2,1,Le parece gracioso/a
2,3,Le parece gracioso/a
2,4,Le parece gracioso/a
2,7,Le parece gracioso/a
2,11,Le parece gracioso/a
12,6,Le parece gracioso/a
12,7,Le parece gracioso/a
12,15,Le parece gracioso/a
15,5,Le parece gracioso/a
15,7,Le parece gracioso/a
15,14,Le parece gracioso/a
15,15,Le parece gracioso/a
6,7,Le parece gracioso/a
6,8,Le parece gracioso/a
6,15,Le parece gracioso/a
10,3,Le parece gracioso/a
10,7,Le parece gracioso/a
10,8,Le parece gracioso/a
10,11,Le parece gracioso/a
10,13,Le parece gracioso/a
9,15,Le parece gracioso/a
13,7,Le parece gracioso/a
13,13,Le parece gracioso/a
13,14,Le parece gracioso/a
16,5,Le parece gracioso/a
8,15,Le parece gracioso/a
4,7,Le parece gracioso/a
4,13,Le parece gracioso/a
4,15,Le parece gracioso/a
14,4,Le parece gracioso/a
14,7,Le parece gracioso/a
14,15,Le parece gracioso/a
3,15,Le parece gracioso/a
11,7,Le parece gracioso/a
7,4,Le parece gracioso/a
7,6,Le parece gracioso/a
7,8,Le parece gracioso/a
7,13,Le parece gracioso/a
7,14,Le parece gracioso/a
7,15,Le parece gracioso/a
5,6,Le parece gracioso/a
5,7,Le parece gracioso/a
1,2,Le parece gracioso/a
1,6,Le parece gracioso/a
1,7,Le parece gracioso/a
1,14,Le parece gracioso/a
1,15,Le parece gracioso/a
