country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.11,3.96,5.77,5.61,3.82,5.3,6.29,3.38,3.26,3.7,6.59,2.19,1.04,-2.84,4.43,3.05,2.81,5.07,3.48,5.17,4.26,1.7,-1.22,4.01,0.184,-2,3.96,6.83,-1,-3.18,3.46,6.02,-0.951,-4.91,3.16,6.71,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.8,6.13,11.7,11.3,10.9,7.2,22.5,2.1,-2.16,3.81,16.6,7.3,4.82,0.567,2.45,-2.2,2.4,2.07,6.52,6.96,2.84,9.41,2.92,
Angola,,,,,,,,,,,,,,,,,,,,,-2.1,0,0.0128,0.00119,19,-9.01,9.82,2.21,16.3,14,106,477,918,2180,1830,4800,95.5,39.4,558,418,106,197,93.9,33.4,42.4,17.1,4.31,19.4,-16.8,32.3,31.8,7.26,2.84,3.56,-3.52,21.8,22.6,28.2,19.2,10.8,38.8,13.7,17.6,25.2
Albania,,,,,,,,,,,,,,,,,,,,,-2.14,-0.0177,-0.0168,-0.0284,0.351,-2.42,-0.00031,-0.00058,0.00368,-0.431,35.5,233,126,35.8,33.5,16.9,12.8,7.86,2.79,5.92,3.77,3.9,4.94,3.1,3.14,2.68,5.15,3.5,2.57,4.13,1.69,0.227,0.353,1.44,0.772,-0.864,2.73,1.45,1,0.041,3.44,9.86,6.07,2.69
Andorra,,,,,,,,,,,7.85,8.52,11.8,15.9,16.8,16.5,23.4,20.6,16.9,13.4,12.4,13.6,11.9,10.9,8.6,10.9,5.94,5.94,6.9,7.33,6.94,6.71,4.54,3.88,4.93,0.797,2.23,1.5,2.73,28.7,3.08,3.24,3.18,3.04,3.4,3.46,3.21,2.27,0.132,0.374,0.197,0.175,0.448,-0.084,0.661,0.348,1.14,1.01,1.37,1.11,2.56,4.24,6.3,3.14
UAE,,,,,,,,,,,0,0,54.3,138,19,11.8,5.26,-3.66,7.05,9.52,7.05,1.31,-3.62,-6.1,0.741,-1.7,3.69,2.38,1.75,3.34,0.811,1.81,1.28,-0.262,3.91,5.77,-0.952,-4.25,8.44,11.5,-2.35,3.77,4.07,8.5,16.5,12,12.5,18.5,-15.2,16.5,13.2,4.68,-0.949,-0.668,-16.3,-5.53,4.99,7.94,-3.19,-12,13.8,12.6,-1.3,0.676
Argentina,20.3,28.9,25.6,28.8,21.2,25.6,29,10.3,7.8,6.47,31.3,64.2,65.5,30.6,198,438,159,161,147,95.8,105,195,380,611,607,77.3,128,381,3050,2080,141,16.1,-3.56,2.85,3.17,-0.0524,-0.464,-1.71,-1.84,1.04,-1.1,30.6,10.5,18.4,10.3,13.7,14.9,23.2,15.4,20.9,23.7,22.3,23.9,40.3,26.6,41.1,26,42,49.2,40.1,53.8,69.9,135,208
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,569,1390,4110,161,19.6,17.7,10.7,0.0538,-1.37,4.03,2.36,4.6,6.28,3.21,4.62,4.28,5.99,2.5,7.77,4.28,5.35,3.37,2.31,1.21,0.269,2.15,2.79,1.07,1.81,6.9,7.99,2.67,1.16
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,-3.26,-1.37,2.81,3.16,11.1,25.8,-15.4,-0.524,17.4,2.24,-0.962,1.47,1.41,-1.94,1.7,1.75,6.73,4.84,14.2,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,8.82,15.2,11.7,8.64,11.5,5.41,4.2,7.85,8.33,9.33,12.7,5.12,2.1,3.11,2.93,2.32,3.59,3.05,3.41,2.53,2.68,2.01,1.54,2.06,1.27,-0.479,2.35,4.68,1.12,4.37,4.74,1.11,1.61,1.13,2.55,-2.29,1.78,2.8,-0.475,0.317,1.44,0.712,0.782,4.92,6.78,4.91,6.32
Australia,3.22,-0.0756,1.79,3.28,2.98,2.68,4.86,2.25,4.76,5.13,5.19,6.19,8.98,16.4,16.5,14,11.4,8.24,8.63,10,9.52,11.7,10.2,7.86,4.68,6.55,7.03,7.17,9.23,6.09,3.02,1.48,0.867,1.02,2.29,2.71,1.27,1.14,0.475,2.55,4.63,2.84,2.99,3.23,3.83,5.12,4.99,4.57,4.95,1.15,6.2,1.81,-0.164,1.41,-0.624,-0.663,3.65,1.87,3.47,1.89,3.08,7.18,6.51,2.63
