Source,Target,Type,Id,Label,Weight,rel
2,1,Directed,89,Pediría consejo a,1,Pediría consejo a
2,8,Directed,91,Pediría consejo a,1,Pediría consejo a
2,11,Directed,92,Pediría consejo a,1,Pediría consejo a
12,3,Directed,93,Pediría consejo a,1,Pediría consejo a
12,8,Directed,94,Pediría consejo a,1,Pediría consejo a
12,10,Directed,95,Pediría consejo a,1,Pediría consejo a
15,1,Directed,96,Pediría consejo a,1,Pediría consejo a
15,2,Directed,97,Pediría consejo a,1,Pediría consejo a
15,10,Directed,98,Pediría consejo a,1,Pediría consejo a
15,14,Directed,99,Pediría consejo a,1,Pediría consejo a
6,8,Directed,100,Pediría consejo a,1,Pediría consejo a
6,15,Directed,101,Pediría consejo a,1,Pediría consejo a
10,2,Directed,102,Pediría consejo a,1,Pediría consejo a
10,8,Directed,103,Pediría consejo a,1,Pediría consejo a
10,9,Directed,104,Pediría consejo a,1,Pediría consejo a
10,12,Directed,105,Pediría consejo a,1,Pediría consejo a
9,8,Directed,106,Pediría consejo a,1,Pediría consejo a
9,10,Directed,107,Pediría consejo a,1,Pediría consejo a
13,7,Directed,108,Pediría consejo a,1,Pediría consejo a
13,11,Directed,109,Pediría consejo a,1,Pediría consejo a
16,1,Directed,110,Pediría consejo a,1,Pediría consejo a
8,10,Directed,111,Pediría consejo a,1,Pediría consejo a
4,14,Directed,112,Pediría consejo a,1,Pediría consejo a
14,3,Directed,113,Pediría consejo a,1,Pediría consejo a
14,4,Directed,114,Pediría consejo a,1,Pediría consejo a
14,8,Directed,115,Pediría consejo a,1,Pediría consejo a
14,15,Directed,116,Pediría consejo a,1,Pediría consejo a
3,12,Directed,117,Pediría consejo a,1,Pediría consejo a
3,15,Directed,118,Pediría consejo a,1,Pediría consejo a
11,13,Directed,119,Pediría consejo a,1,Pediría consejo a
7,4,Directed,120,Pediría consejo a,1,Pediría consejo a
7,6,Directed,121,Pediría consejo a,1,Pediría consejo a
7,11,Directed,122,Pediría consejo a,1,Pediría consejo a
7,13,Directed,123,Pediría consejo a,1,Pediría consejo a
7,14,Directed,124,Pediría consejo a,1,Pediría consejo a
5,6,Directed,125,Pediría consejo a,1,Pediría consejo a
5,7,Directed,126,Pediría consejo a,1,Pediría consejo a
1,2,Directed,127,Pediría consejo a,1,Pediría consejo a
1,6,Directed,128,Pediría consejo a,1,Pediría consejo a
1,8,Directed,129,Pediría consejo a,1,Pediría consejo a
1,14,Directed,130,Pediría consejo a,1,Pediría consejo a
2,1,Directed,131,Le parece gracioso/a,1,Le parece gracioso/a
2,3,Directed,132,Le parece gracioso/a,1,Le parece gracioso/a
2,4,Directed,133,Le parece gracioso/a,1,Le parece gracioso/a
2,7,Directed,134,Le parece gracioso/a,1,Le parece gracioso/a
2,11,Directed,135,Le parece gracioso/a,1,Le parece gracioso/a
12,6,Directed,136,Le parece gracioso/a,1,Le parece gracioso/a
12,7,Directed,137,Le parece gracioso/a,1,Le parece gracioso/a
12,15,Directed,138,Le parece gracioso/a,1,Le parece gracioso/a
15,5,Directed,139,Le parece gracioso/a,1,Le parece gracioso/a
15,7,Directed,140,Le parece gracioso/a,1,Le parece gracioso/a
15,14,Directed,141,Le parece gracioso/a,1,Le parece gracioso/a
15,15,Directed,142,Le parece gracioso/a,1,Le parece gracioso/a
6,7,Directed,143,Le parece gracioso/a,1,Le parece gracioso/a
6,8,Directed,144,Le parece gracioso/a,1,Le parece gracioso/a
6,15,Directed,145,Le parece gracioso/a,1,Le parece gracioso/a
10,3,Directed,146,Le parece gracioso/a,1,Le parece gracioso/a
10,7,Directed,147,Le parece gracioso/a,1,Le parece gracioso/a
10,8,Directed,148,Le parece gracioso/a,1,Le parece gracioso/a
10,11,Directed,149,Le parece gracioso/a,1,Le parece gracioso/a
10,13,Directed,150,Le parece gracioso/a,1,Le parece gracioso/a
9,15,Directed,151,Le parece gracioso/a,1,Le parece gracioso/a
13,7,Directed,152,Le parece gracioso/a,1,Le parece gracioso/a
13,13,Directed,153,Le parece gracioso/a,1,Le parece gracioso/a
13,14,Directed,154,Le parece gracioso/a,1,Le parece gracioso/a
16,5,Directed,155,Le parece gracioso/a,1,Le parece gracioso/a
8,15,Directed,156,Le parece gracioso/a,1,Le parece gracioso/a
4,7,Directed,157,Le parece gracioso/a,1,Le parece gracioso/a
4,13,Directed,158,Le parece gracioso/a,1,Le parece gracioso/a
4,15,Directed,159,Le parece gracioso/a,1,Le parece gracioso/a
14,4,Directed,160,Le parece gracioso/a,1,Le parece gracioso/a
14,7,Directed,161,Le parece gracioso/a,1,Le parece gracioso/a
14,15,Directed,162,Le parece gracioso/a,1,Le parece gracioso/a
3,15,Directed,163,Le parece gracioso/a,1,Le parece gracioso/a
11,7,Directed,164,Le parece gracioso/a,1,Le parece gracioso/a
