Id,Label,nombre,indegree,outdegree,Degree,In-Degree_Gracia,Out-Degree_Gracia,Degree_Gracia,In-Degree_Consejo,Out-Degree_Consejo,Degree_Consejo,Genero
1,Marce,Marce,3,4,7,1,5,6,3,4,7,M
2,Mimi,Mimi,3,4,7,1,5,6,3,4,8,F
3,Cuqui,Cuqui,2,2,4,2,1,3,2,2,4,M
4,Flor,Flor,2,1,3,3,3,6,2,1,3,F
5,Román,Román,0,2,2,2,2,4,0,2,2,M
6,Guido,Guido,3,2,5,4,3,7,3,2,5,M
7,Lolo,Lolo,2,5,7,11,6,17,2,5,7,M
8,Fran,Fran,7,1,8,3,1,4,7,1,8,M
9,Martu,Martu,1,2,3,0,1,1,1,2,3,F
10,Mica,Mica,5,4,9,0,5,5,5,4,8,F
11,Mime,Mime,3,1,4,2,1,3,3,1,4,F
12,Nori,Nori,2,3,5,0,3,3,2,3,5,F
13,Ema,Ema,2,2,4,4,3,7,2,2,4,M
14,Gabi,Gabi,4,4,8,4,3,7,4,4,8,M
15,Vicente,Vicente,3,4,7,10,4,14,3,4,7,M
16,Brian,Brian,0,1,1,0,1,1,0,1,1,M
