fecha,codigo_departamento_indec,id_provincia_indec,w_median
2014-01-01,2000,2,8436
2014-01-01,6007,6,6436
2014-01-01,6014,6,6378
2014-01-01,6021,6,7276
2014-01-01,6028,6,7589
2014-01-01,6035,6,7910
2014-01-01,6042,6,5803
2014-01-01,6049,6,7308
2014-01-01,6056,6,7827
2014-01-01,6063,6,6783
2014-01-01,6070,6,8555
2014-01-01,6077,6,7296
2014-01-01,6084,6,6504
2014-01-01,6091,6,7834
2014-01-01,6098,6,8680
2014-01-01,6105,6,6769
2014-01-01,6112,6,7784
2014-01-01,6119,6,8345
2014-01-01,6126,6,9695
2014-01-01,6134,6,8204
2014-01-01,6140,6,8062
2014-01-01,6147,6,6970
2014-01-01,6154,6,6619
2014-01-01,6161,6,7075
2014-01-01,6168,6,6245
2014-01-01,6175,6,6903
2014-01-01,6182,6,7105
2014-01-01,6189,6,6290
2014-01-01,6196,6,6638
2014-01-01,6203,6,5585
2014-01-01,6210,6,7819
2014-01-01,6217,6,7425
2014-01-01,6224,6,7419
2014-01-01,6231,6,7000
2014-01-01,6238,6,6983
2014-01-01,6245,6,9336
2014-01-01,6252,6,8282
2014-01-01,6260,6,7723
2014-01-01,6266,6,8000
2014-01-01,6270,6,7676
2014-01-01,6274,6,7178
2014-01-01,6277,6,6730
2014-01-01,6280,6,5389
2014-01-01,6287,6,5907
2014-01-01,6294,6,6405
2014-01-01,6301,6,6269
2014-01-01,6308,6,5587
2014-01-01,6315,6,5898
2014-01-01,6322,6,6330
2014-01-01,6329,6,6745
2014-01-01,6336,6,5935
2014-01-01,6343,6,6321
2014-01-01,6351,6,6708
2014-01-01,6357,6,6712
2014-01-01,6364,6,8474
2014-01-01,6371,6,7621
2014-01-01,6385,6,6599
2014-01-01,6392,6,7057
2014-01-01,6399,6,6047
2014-01-01,6406,6,6387
2014-01-01,6408,6,7828
2014-01-01,6410,6,8147
2014-01-01,6412,6,7476
2014-01-01,6413,6,7428
2014-01-01,6420,6,6096
2014-01-01,6427,6,7494
2014-01-01,6434,6,7860
2014-01-01,6441,6,7500
2014-01-01,6448,6,5852
2014-01-01,6455,6,6600
2014-01-01,6462,6,6271
2014-01-01,6469,6,6885
2014-01-01,6476,6,6289
2014-01-01,6483,6,6923
2014-01-01,6490,6,7754
2014-01-01,6497,6,7995
2014-01-01,6505,6,8646
2014-01-01,6511,6,7415
2014-01-01,6515,6,7892
2014-01-01,6518,6,6207
2014-01-01,6525,6,7214
2014-01-01,6532,6,7466
2014-01-01,6539,6,7315
2014-01-01,6547,6,7584
2014-01-01,6553,6,6035
2014-01-01,6560,6,7226
2014-01-01,6568,6,8185
2014-01-01,6574,6,6594
2014-01-01,6581,6,6429
2014-01-01,6588,6,7225
2014-01-01,6595,6,8041
2014-01-01,6602,6,7291
2014-01-01,6609,6,7056
2014-01-01,6616,6,5923
2014-01-01,6623,6,7378
2014-01-01,6630,6,6404
2014-01-01,6638,6,7839
2014-01-01,6644,6,6300
2014-01-01,6648,6,6912
2014-01-01,6651,6,7068
2014-01-01,6655,6,6233
2014-01-01,6658,6,7693
2014-01-01,6665,6,8424
2014-01-01,6672,6,5981
2014-01-01,6679,6,6879
2014-01-01,6686,6,8042
2014-01-01,6693,6,7395
2014-01-01,6700,6,6659
2014-01-01,6707,6,7243
2014-01-01,6714,6,7869
2014-01-01,6721,6,7321
2014-01-01,6728,6,6726
2014-01-01,6735,6,7207
2014-01-01,6742,6,5766
2014-01-01,6749,6,7478
2014-01-01,6756,6,8364
2014-01-01,6760,6,7620
2014-01-01,6763,6,9000
2014-01-01,6770,6,6861
2014-01-01,6778,6,7617
2014-01-01,6784,6,7256
2014-01-01,6791,6,6782
2014-01-01,6798,6,6124
2014-01-01,6805,6,7952
2014-01-01,6812,6,5727
2014-01-01,6819,6,6847
2014-01-01,6826,6,7343
2014-01-01,6833,6,7659
2014-01-01,6840,6,7831
2014-01-01,6847,6,5990
2014-01-01,6854,6,6174
2014-01-01,6861,6,8715
2014-01-01,6868,6,6202
2014-01-01,6875,6,5719
2014-01-01,6882,6,10663
2014-01-01,10007,10,3942
2014-01-01,10014,10,5160
2014-01-01,10021,10,6158
2014-01-01,10028,10,6532
2014-01-01,10035,10,8280
2014-01-01,10042,10,5595
2014-01-01,10049,10,6377
2014-01-01,10056,10,4805
2014-01-01,10063,10,6235
2014-01-01,10070,10,8000
2014-01-01,10077,10,5343
2014-01-01,10084,10,6425
2014-01-01,10091,10,5821
2014-01-01,10098,10,5173
2014-01-01,10105,10,5426
2014-01-01,10112,10,5400
2014-01-01,14007,14,6281
2014-01-01,14014,14,7143
2014-01-01,14021,14,7430
2014-01-01,14028,14,6098
2014-01-01,14035,14,6265
2014-01-01,14042,14,7458
2014-01-01,14049,14,7456
2014-01-01,14056,14,7403
2014-01-01,14063,14,7148
2014-01-01,14070,14,6094
2014-01-01,14077,14,5758
2014-01-01,14084,14,7252
2014-01-01,14091,14,6682
2014-01-01,14098,14,7211
2014-01-01,14105,14,7178
2014-01-01,14112,14,5695
2014-01-01,14119,14,7519
2014-01-01,14126,14,4999
2014-01-01,14133,14,6183
2014-01-01,14140,14,7936
2014-01-01,14147,14,7299
2014-01-01,14154,14,5153
2014-01-01,14161,14,7624
2014-01-01,14168,14,7484
2014-01-01,14175,14,5737
2014-01-01,14182,14,7024
2014-01-01,18007,18,6586
2014-01-01,18014,18,5709
2014-01-01,18021,18,6998
2014-01-01,18028,18,4662
2014-01-01,18035,18,5805
2014-01-01,18042,18,6045
2014-01-01,18049,18,6138
2014-01-01,18056,18,5253
2014-01-01,18063,18,5927
2014-01-01,18070,18,6342
2014-01-01,18077,18,5650
2014-01-01,18084,18,5610
2014-01-01,18091,18,4567
2014-01-01,18098,18,5094
2014-01-01,18105,18,5715
2014-01-01,18112,18,6467
2014-01-01,18119,18,6502
2014-01-01,18126,18,5488
2014-01-01,18133,18,6001
2014-01-01,18140,18,5607
2014-01-01,18147,18,5385
2014-01-01,18154,18,4677
2014-01-01,18161,18,5299
2014-01-01,18168,18,5867
2014-01-01,18175,18,5403
2014-01-01,22007,22,4917
2014-01-01,22014,22,5771
2014-01-01,22021,22,7190
2014-01-01,22028,22,6833
2014-01-01,22036,22,5444
2014-01-01,22039,22,5512
2014-01-01,22043,22,5241
2014-01-01,22049,22,4529
2014-01-01,22056,22,5926
2014-01-01,22063,22,4842
2014-01-01,22070,22,4440
2014-01-01,22077,22,5534
2014-01-01,22084,22,5654
2014-01-01,22091,22,4261
2014-01-01,22098,22,5844
2014-01-01,22105,22,5879
2014-01-01,22112,22,4928
2014-01-01,22119,22,5353
2014-01-01,22126,22,5894
2014-01-01,22133,22,5984
2014-01-01,22140,22,6884
2014-01-01,22147,22,5049
2014-01-01,22154,22,5320
2014-01-01,22168,22,4704
2014-01-01,26007,26,8826
2014-01-01,26014,26,6289
2014-01-01,26021,26,14614
2014-01-01,26028,26,6554
2014-01-01,26035,26,7572
2014-01-01,26042,26,7963
2014-01-01,26056,26,6664
2014-01-01,26063,26,6887
2014-01-01,26070,26,5802
2014-01-01,26077,26,8637
2014-01-01,26084,26,7963
2014-01-01,26091,26,17005
2014-01-01,26098,26,6860
2014-01-01,26105,26,6442
2014-01-01,30008,30,7319
2014-01-01,30015,30,6401
2014-01-01,30021,30,6909
2014-01-01,30028,30,5034
2014-01-01,30035,30,5368
2014-01-01,30042,30,5232
2014-01-01,30049,30,7140
2014-01-01,30056,30,7059
2014-01-01,30063,30,7317
2014-01-01,30070,30,5700
2014-01-01,30077,30,6606
2014-01-01,30084,30,7238
2014-01-01,30088,30,6263
2014-01-01,30091,30,6088
2014-01-01,30098,30,7474
2014-01-01,30105,30,6165
2014-01-01,30113,30,5969
2014-01-01,34007,34,4917
2014-01-01,34014,34,6819
2014-01-01,34021,34,5126
2014-01-01,34028,34,5676
2014-01-01,34035,34,5377
2014-01-01,34042,34,5580
2014-01-01,34049,34,6050
2014-01-01,34056,34,5472
2014-01-01,38007,38,6523
2014-01-01,38014,38,4130
2014-01-01,38021,38,7230
2014-01-01,38028,38,11477
2014-01-01,38035,38,7307
2014-01-01,38042,38,7180
2014-01-01,38049,38,7849
2014-01-01,38056,38,4178
2014-01-01,38063,38,7145
2014-01-01,38070,38,4735
2014-01-01,38077,38,3486
2014-01-01,38084,38,5833
2014-01-01,38094,38,6181
2014-01-01,38098,38,6301
2014-01-01,38105,38,5925
2014-01-01,38112,38,3907
2014-01-01,42007,42,7128
2014-01-01,42014,42,6719
2014-01-01,42021,42,7468
2014-01-01,42028,42,7127
2014-01-01,42035,42,6280
2014-01-01,42056,42,5984
2014-01-01,42063,42,5306
2014-01-01,42070,42,7037
2014-01-01,42077,42,7029
2014-01-01,42098,42,5861
2014-01-01,42105,42,7380
2014-01-01,42112,42,14010
2014-01-01,42119,42,6353
2014-01-01,42126,42,5706
2014-01-01,42133,42,6861
2014-01-01,42140,42,7506
2014-01-01,42147,42,5790
2014-01-01,42154,42,6988
2014-01-01,46007,46,6480
2014-01-01,46014,46,6992
2014-01-01,46021,46,4754
2014-01-01,46028,46,6397
2014-01-01,46035,46,5606
2014-01-01,46042,46,6248
2014-01-01,46049,46,6007
2014-01-01,46056,46,7439
2014-01-01,46063,46,5028
2014-01-01,46070,46,4055
2014-01-01,46077,46,5307
2014-01-01,46084,46,5124
2014-01-01,46091,46,5094
2014-01-01,46098,46,6330
2014-01-01,46105,46,5941
2014-01-01,46112,46,5322
2014-01-01,46119,46,5499
2014-01-01,50007,50,7000
2014-01-01,50014,50,5970
2014-01-01,50021,50,7100
2014-01-01,50028,50,6947
2014-01-01,50035,50,5064
2014-01-01,50042,50,6140
2014-01-01,50049,50,6626
2014-01-01,50056,50,4274
2014-01-01,50063,50,7076
2014-01-01,50070,50,6812
2014-01-01,50077,50,9086
2014-01-01,50084,50,4933
2014-01-01,50091,50,5100
2014-01-01,50098,50,5870
2014-01-01,50105,50,6025
2014-01-01,50112,50,4777
2014-01-01,50119,50,4852
2014-01-01,50126,50,3727
2014-01-01,54007,54,6084
2014-01-01,54014,54,4476
2014-01-01,54021,54,5575
2014-01-01,54028,54,6716
2014-01-01,54035,54,3736
2014-01-01,54042,54,5984
2014-01-01,54049,54,4337
2014-01-01,54056,54,4698
2014-01-01,54063,54,6540
2014-01-01,54070,54,6388
2014-01-01,54077,54,6057
2014-01-01,54084,54,5623
2014-01-01,54091,54,4569
2014-01-01,54098,54,5466
2014-01-01,54105,54,4853
2014-01-01,54112,54,7239
2014-01-01,54119,54,3929
2014-01-01,58007,58,6900
2014-01-01,58014,58,8536
2014-01-01,58021,58,5714
2014-01-01,58028,58,8217
2014-01-01,58035,58,10162
2014-01-01,58042,58,9978
2014-01-01,58049,58,6854
2014-01-01,58056,58,7259
2014-01-01,58063,58,6216
2014-01-01,58070,58,6841
2014-01-01,58077,58,8166
2014-01-01,58084,58,8304
2014-01-01,58091,58,24763
2014-01-01,58098,58,7965
2014-01-01,58105,58,7630
2014-01-01,58112,58,8909
2014-01-01,62007,62,7712
2014-01-01,62014,62,5470
2014-01-01,62021,62,8483
2014-01-01,62028,62,6729
2014-01-01,62035,62,5326
2014-01-01,62042,62,7578
2014-01-01,62049,62,6253
2014-01-01,62056,62,6470
2014-01-01,62063,62,7231
2014-01-01,62070,62,6568
2014-01-01,62077,62,7265
2014-01-01,62084,62,6829
2014-01-01,62091,62,6643
2014-01-01,66007,66,5630
2014-01-01,66014,66,5263
2014-01-01,66021,66,5123
2014-01-01,66028,66,6799
2014-01-01,66035,66,4368
2014-01-01,66042,66,3798
2014-01-01,66049,66,5279
2014-01-01,66056,66,5197
2014-01-01,66063,66,4282
2014-01-01,66070,66,4760
2014-01-01,66084,66,4011
2014-01-01,66091,66,4711
2014-01-01,66098,66,-99
2014-01-01,66105,66,5560
2014-01-01,66112,66,6250
2014-01-01,66119,66,4485
2014-01-01,66126,66,5366
2014-01-01,66133,66,4647
2014-01-01,66140,66,5417
2014-01-01,66147,66,4197
2014-01-01,66154,66,4191
2014-01-01,70007,70,6618
2014-01-01,70014,70,6026
2014-01-01,70021,70,6783
2014-01-01,70028,70,7202
2014-01-01,70035,70,4806
2014-01-01,70042,70,6601
2014-01-01,70049,70,9984
2014-01-01,70056,70,8222
2014-01-01,70063,70,-99
2014-01-01,70070,70,5960
2014-01-01,70077,70,7058
2014-01-01,70084,70,6841
2014-01-01,70091,70,5079
2014-01-01,70098,70,6903
2014-01-01,70105,70,5334
2014-01-01,70112,70,-99
2014-01-01,70119,70,5536
2014-01-01,70126,70,4342
2014-01-01,70133,70,-99
2014-01-01,74007,74,5327
2014-01-01,74014,74,-99
2014-01-01,74021,74,7291
2014-01-01,74028,74,7365
2014-01-01,74035,74,8264
2014-01-01,74042,74,5523
2014-01-01,74049,74,5580
2014-01-01,74056,74,7103
2014-01-01,74063,74,6009
2014-01-01,78007,78,9711
2014-01-01,78014,78,16178
2014-01-01,78021,78,11553
2014-01-01,78028,78,8550
2014-01-01,78035,78,11202
2014-01-01,78042,78,12707
2014-01-01,78049,78,13251
2014-01-01,82007,82,6710
2014-01-01,82014,82,7187
2014-01-01,82021,82,8102
2014-01-01,82028,82,8441
2014-01-01,82035,82,6736
2014-01-01,82042,82,7300
2014-01-01,82049,82,7455
2014-01-01,82056,82,7145
2014-01-01,82063,82,7439
2014-01-01,82070,82,7824
2014-01-01,82077,82,5924
2014-01-01,82084,82,7379
2014-01-01,82091,82,7136
2014-01-01,82098,82,5560
2014-01-01,82105,82,7350
2014-01-01,82112,82,7214
2014-01-01,82119,82,8210
2014-01-01,82126,82,7354
2014-01-01,82133,82,6042
2014-01-01,86007,86,5329
2014-01-01,86014,86,4792
2014-01-01,86021,86,6655
2014-01-01,86028,86,6057
2014-01-01,86035,86,5678
2014-01-01,86042,86,5318
2014-01-01,86049,86,6034
2014-01-01,86056,86,4485
2014-01-01,86063,86,6822
2014-01-01,86070,86,4705
2014-01-01,86077,86,5457
2014-01-01,86084,86,5087
2014-01-01,86091,86,4485
2014-01-01,86098,86,4969
2014-01-01,86105,86,6044
2014-01-01,86112,86,6633
2014-01-01,86119,86,5011
2014-01-01,86126,86,4995
2014-01-01,86133,86,4573
2014-01-01,86140,86,4908
2014-01-01,86147,86,5010
2014-01-01,86154,86,6027
2014-01-01,86161,86,4538
2014-01-01,86168,86,5473
2014-01-01,86175,86,5466
2014-01-01,86182,86,4331
2014-01-01,86189,86,5081
2014-01-01,90007,90,4617
2014-01-01,90014,90,5738
2014-01-01,90021,90,5677
2014-01-01,90028,90,3197
2014-01-01,90035,90,4745
2014-01-01,90042,90,5056
2014-01-01,90049,90,4514
2014-01-01,90056,90,5043
2014-01-01,90063,90,6783
2014-01-01,90070,90,3554
2014-01-01,90077,90,5908
2014-01-01,90084,90,6410
2014-01-01,90091,90,3489
2014-01-01,90098,90,3807
2014-01-01,90105,90,6315
2014-01-01,90112,90,4545
2014-01-01,90119,90,7000
2014-01-01,94007,94,11768
2014-01-01,94014,94,10444
2014-01-01,,,5741
2014-02-01,2000,2,8398
2014-02-01,6007,6,6350
2014-02-01,6014,6,6219
2014-02-01,6021,6,7079
2014-02-01,6028,6,7493
2014-02-01,6035,6,7819
2014-02-01,6042,6,5535
2014-02-01,6049,6,7256
2014-02-01,6056,6,7845
2014-02-01,6063,6,6755
2014-02-01,6070,6,8295
2014-02-01,6077,6,6810
2014-02-01,6084,6,6494
2014-02-01,6091,6,7649
2014-02-01,6098,6,8702
2014-02-01,6105,6,6542
2014-02-01,6112,6,7673
2014-02-01,6119,6,8175
2014-02-01,6126,6,9696
2014-02-01,6134,6,8056
2014-02-01,6140,6,8250
2014-02-01,6147,6,6844
2014-02-01,6154,6,6500
2014-02-01,6161,6,6896
2014-02-01,6168,6,6064
2014-02-01,6175,6,7003
2014-02-01,6182,6,7167
2014-02-01,6189,6,6502
2014-02-01,6196,6,6401
2014-02-01,6203,6,5957
2014-02-01,6210,6,7799
2014-02-01,6217,6,7378
2014-02-01,6224,6,7799
2014-02-01,6231,6,7144
2014-02-01,6238,6,6738
2014-02-01,6245,6,9185
2014-02-01,6252,6,8223
2014-02-01,6260,6,7547
2014-02-01,6266,6,7996
2014-02-01,6270,6,7534
2014-02-01,6274,6,6944
2014-02-01,6277,6,6579
2014-02-01,6280,6,5356
2014-02-01,6287,6,5661
2014-02-01,6294,6,6178
2014-02-01,6301,6,6147
2014-02-01,6308,6,5662
2014-02-01,6315,6,5863
2014-02-01,6322,6,6104
2014-02-01,6329,6,6996
2014-02-01,6336,6,5810
2014-02-01,6343,6,6145
2014-02-01,6351,6,6545
2014-02-01,6357,6,6758
2014-02-01,6364,6,8242
2014-02-01,6371,6,7419
2014-02-01,6385,6,6543
2014-02-01,6392,6,7166
2014-02-01,6399,6,5939
2014-02-01,6406,6,6155
2014-02-01,6408,6,7705
2014-02-01,6410,6,8046
2014-02-01,6412,6,7260
2014-02-01,6413,6,7566
2014-02-01,6420,6,6076
2014-02-01,6427,6,7332
2014-02-01,6434,6,7764
2014-02-01,6441,6,7466
2014-02-01,6448,6,5753
2014-02-01,6455,6,6860
2014-02-01,6462,6,6309
2014-02-01,6469,6,6854
2014-02-01,6476,6,6161
2014-02-01,6483,6,6796
2014-02-01,6490,6,7602
2014-02-01,6497,6,7936
2014-02-01,6505,6,8224
2014-02-01,6511,6,7644
2014-02-01,6515,6,7709
2014-02-01,6518,6,6136
2014-02-01,6525,6,7033
2014-02-01,6532,6,7353
2014-02-01,6539,6,7151
2014-02-01,6547,6,7723
2014-02-01,6553,6,6068
2014-02-01,6560,6,6986
2014-02-01,6568,6,8144
2014-02-01,6574,6,6381
2014-02-01,6581,6,6560
2014-02-01,6588,6,7121
2014-02-01,6595,6,7886
2014-02-01,6602,6,6971
2014-02-01,6609,6,6900
2014-02-01,6616,6,5669
2014-02-01,6623,6,7169
2014-02-01,6630,6,6152
2014-02-01,6638,6,7700
2014-02-01,6644,6,6296
2014-02-01,6648,6,6723
2014-02-01,6651,6,6994
2014-02-01,6655,6,6431
2014-02-01,6658,6,7527
2014-02-01,6665,6,7773
2014-02-01,6672,6,5746
2014-02-01,6679,6,6602
2014-02-01,6686,6,7867
2014-02-01,6693,6,7385
2014-02-01,6700,6,6692
2014-02-01,6707,6,7316
2014-02-01,6714,6,7879
2014-02-01,6721,6,7326
2014-02-01,6728,6,6665
2014-02-01,6735,6,7082
2014-02-01,6742,6,5834
2014-02-01,6749,6,7400
2014-02-01,6756,6,8263
2014-02-01,6760,6,7473
2014-02-01,6763,6,8507
2014-02-01,6770,6,6796
2014-02-01,6778,6,7505
2014-02-01,6784,6,6775
2014-02-01,6791,6,6648
2014-02-01,6798,6,5872
2014-02-01,6805,6,7834
2014-02-01,6812,6,5581
2014-02-01,6819,6,6789
2014-02-01,6826,6,7394
2014-02-01,6833,6,7717
2014-02-01,6840,6,7652
2014-02-01,6847,6,5739
2014-02-01,6854,6,6013
2014-02-01,6861,6,8610
2014-02-01,6868,6,5890
2014-02-01,6875,6,5293
2014-02-01,6882,6,10216
2014-02-01,10007,10,4408
2014-02-01,10014,10,5008
2014-02-01,10021,10,6085
2014-02-01,10028,10,6303
2014-02-01,10035,10,8209
2014-02-01,10042,10,5028
2014-02-01,10049,10,6128
2014-02-01,10056,10,5062
2014-02-01,10063,10,6279
2014-02-01,10070,10,7707
2014-02-01,10077,10,5923
2014-02-01,10084,10,5428
