Id,Label,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@007artemisa,@007artemisa,2,8,10,0.244809,0.266306,0.000027
@Fa21519230,@Fa21519230,265,8,9,0.30793,0.350925,0.036801
@Jou_Kaiser,@Jou_Kaiser,298,5,11,0.290482,0.340888,0.05172
@043_imagine,@043_imagine,1,8,10,0.229172,0.240727,0
@76Anabellan,@76Anabellan,120,8,9,0.29729,0.326047,0.014287
@0ef7812d7bed42c,@0ef7812d7bed42c,1,8,10,0.25687,0.281537,0
@dejanirasilveir,@dejanirasilveir,727,8,9,0.345636,0.423864,0.194946
@0mauro2020,@0mauro2020,1,5,12,0.225105,0.2441,0
@1010nnnnnnn,@1010nnnnnnn,1,183,12,0.180584,0.188868,0
@MichaelRoldan,@MichaelRoldan,20,183,11,0.220372,0.236776,0.006248
@1024xthor,@1024xthor,1,8,12,0.210749,0.222493,0
@Juanman58705679,@Juanman58705679,37,8,11,0.26701,0.292161,0.006226
@11nil,@11nil,1,171,10,0.215619,0.226946,0
@PatoBullrich,@PatoBullrich,73,171,9,0.274875,0.300804,0.017017
@12junio19801,@12junio19801,4,8,10,0.261163,0.286302,0.000138
@AsimovIsaac1919,@AsimovIsaac1919,84,8,11,0.287488,0.315391,0.006412
@apsiin,@apsiin,32,8,11,0.250737,0.273252,0.002596
@12vondy,@12vondy,1,157,11,0.246168,0.266,0
@eltuitdemarsh,@eltuitdemarsh,503,157,10,0.326536,0.386434,0.15206
@1345_stgo,@1345_stgo,2,139,10,0.245191,0.270721,0.0009
@JulianZamudio,@JulianZamudio,2,139,11,0.196948,0.209103,0.0006
@eduardomenoni,@eduardomenoni,670,139,9,0.324696,0.402247,0.16428
@13mae13,@13mae13,2,5,10,0.249964,0.269913,0.000325
@rodolfo_garciac,@rodolfo_garciac,38,5,11,0.263604,0.287331,0.005075
@15nevado,@15nevado,1,139,10,0.245122,0.270518,0
@16ravendano,@16ravendano,2,5,12,0.227494,0.247084,0.000049
@MaidamillerM,@MaidamillerM,39,5,11,0.256972,0.280508,0.005906
@18warcry,@18warcry,5,215,10,0.253494,0.271889,0.001131
@DaniMayakovski,@DaniMayakovski,89,0,10,0.266215,0.294958,0.020492
